date,breadth
2007-01-02,77.85
2007-01-03,77.27
2007-01-04,76.86
2007-01-05,75.0
2007-01-08,76.03
2007-01-09,77.48
2007-01-10,78.14
2007-01-11,80.21
2007-01-12,82.06
2007-01-15,82.06
2007-01-16,81.44
2007-01-17,81.44
2007-01-18,80.82
2007-01-19,81.65
2007-01-22,80.82
2007-01-23,82.27
2007-01-24,83.92
2007-01-25,80.82
2007-01-26,80.62
2007-01-29,80.62
2007-01-30,82.27
2007-01-31,84.54
2007-02-01,85.98
2007-02-02,86.39
2007-02-05,85.77
2007-02-06,86.6
2007-02-07,87.22
2007-02-08,86.6
2007-02-09,85.36
2007-02-12,84.74
2007-02-13,86.6
2007-02-14,88.04
2007-02-15,88.25
2007-02-16,88.45
2007-02-19,88.45
2007-02-20,89.07
2007-02-21,89.48
2007-02-22,89.69
2007-02-23,89.69
2007-02-26,89.9
2007-02-27,78.97
2007-02-28,81.44
2007-03-01,80.41
2007-03-02,75.88
2007-03-05,70.72
2007-03-06,75.88
2007-03-07,75.05
2007-03-08,78.76
2007-03-09,78.56
2007-03-12,78.97
2007-03-13,70.31
2007-03-14,72.78
2007-03-15,75.05
2007-03-16,73.61
2007-03-19,77.11
2007-03-20,78.35
2007-03-21,81.65
2007-03-22,81.86
2007-03-23,82.68
2007-03-26,82.47
2007-03-27,81.86
2007-03-28,79.59
2007-03-29,80.0
2007-03-30,79.59
2007-04-02,80.0
2007-04-03,81.86
2007-04-04,81.86
2007-04-05,82.27
2007-04-06,82.27
2007-04-09,82.47
2007-04-10,81.86
2007-04-11,80.41
2007-04-12,82.27
2007-04-13,83.09
2007-04-16,86.6
2007-04-17,86.6
2007-04-18,87.22
2007-04-19,86.21
2007-04-20,86.83
2007-04-23,87.24
2007-04-24,86.63
2007-04-25,87.04
2007-04-26,86.83
2007-04-27,85.19
2007-04-30,83.33
2007-05-01,83.54
2007-05-02,84.98
2007-05-03,84.77
2007-05-04,85.19
2007-05-07,85.8
2007-05-08,84.77
2007-05-09,86.21
2007-05-10,82.51
2007-05-11,84.57
2007-05-14,82.92
2007-05-15,81.48
2007-05-16,83.13
2007-05-17,81.69
2007-05-18,82.51
2007-05-21,82.92
2007-05-22,83.33
2007-05-23,82.72
2007-05-24,78.81
