year,date,market_cap_gdp_pct,source
1975,1975-12-31,41.7709258212931,World Bank CM.MKT.LCAP.GD.ZS
1976,1976-12-31,47.1385899097476,World Bank CM.MKT.LCAP.GD.ZS
1977,1977-12-31,40.0724171952891,World Bank CM.MKT.LCAP.GD.ZS
1978,1978-12-31,36.6542510011273,World Bank CM.MKT.LCAP.GD.ZS
1979,1979-12-31,37.8174711770453,World Bank CM.MKT.LCAP.GD.ZS
1980,1980-12-31,47.5901889436452,World Bank CM.MKT.LCAP.GD.ZS
1981,1981-12-31,39.3995804855629,World Bank CM.MKT.LCAP.GD.ZS
1982,1982-12-31,43.5692922011526,World Bank CM.MKT.LCAP.GD.ZS
1983,1983-12-31,49.7802829799798,World Bank CM.MKT.LCAP.GD.ZS
1984,1984-12-31,39.6808634210361,World Bank CM.MKT.LCAP.GD.ZS
1985,1985-12-31,53.0276339203301,World Bank CM.MKT.LCAP.GD.ZS
1986,1986-12-31,55.4180500568714,World Bank CM.MKT.LCAP.GD.ZS
1987,1987-12-31,52.1453262110947,World Bank CM.MKT.LCAP.GD.ZS
1988,1988-12-31,53.0883913836085,World Bank CM.MKT.LCAP.GD.ZS
1989,1989-12-31,59.9518858192208,World Bank CM.MKT.LCAP.GD.ZS
1990,1990-12-31,51.8761327916951,World Bank CM.MKT.LCAP.GD.ZS
1991,1991-12-31,67.5464122300783,World Bank CM.MKT.LCAP.GD.ZS
1992,1992-12-31,69.7180371475234,World Bank CM.MKT.LCAP.GD.ZS
1993,1993-12-31,76.562432866729,World Bank CM.MKT.LCAP.GD.ZS
1994,1994-12-31,70.5032725713837,World Bank CM.MKT.LCAP.GD.ZS
1995,1995-12-31,90.9980943091193,World Bank CM.MKT.LCAP.GD.ZS
1996,1996-12-31,105.046065202533,World Bank CM.MKT.LCAP.GD.ZS
1997,1997-12-31,125.561930897573,World Bank CM.MKT.LCAP.GD.ZS
1998,1998-12-31,142.588979630511,World Bank CM.MKT.LCAP.GD.ZS
1999,1999-12-31,153.432869655488,World Bank CM.MKT.LCAP.GD.ZS
2000,2000-12-31,147.379061960136,World Bank CM.MKT.LCAP.GD.ZS
2001,2001-12-31,132.146652819017,World Bank CM.MKT.LCAP.GD.ZS
2002,2002-12-31,101.146635097615,World Bank CM.MKT.LCAP.GD.ZS
2003,2003-12-31,124.526145193632,World Bank CM.MKT.LCAP.GD.ZS
2004,2004-12-31,133.612737929627,World Bank CM.MKT.LCAP.GD.ZS
2005,2005-12-31,130.382734540376,World Bank CM.MKT.LCAP.GD.ZS
2006,2006-12-31,141.644163028722,World Bank CM.MKT.LCAP.GD.ZS
2007,2007-12-31,137.639681557832,World Bank CM.MKT.LCAP.GD.ZS
2008,2008-12-31,78.4725069790145,World Bank CM.MKT.LCAP.GD.ZS
2009,2009-12-31,104.138818334713,World Bank CM.MKT.LCAP.GD.ZS
2010,2010-12-31,114.848112933717,World Bank CM.MKT.LCAP.GD.ZS
2011,2011-12-31,100.262689943548,World Bank CM.MKT.LCAP.GD.ZS
2012,2012-12-31,114.85397505198,World Bank CM.MKT.LCAP.GD.ZS
2013,2013-12-31,142.697743735073,World Bank CM.MKT.LCAP.GD.ZS
2014,2014-12-31,150.02603277454,World Bank CM.MKT.LCAP.GD.ZS
2015,2015-12-31,137.688185444872,World Bank CM.MKT.LCAP.GD.ZS
2016,2016-12-31,146.306705272649,World Bank CM.MKT.LCAP.GD.ZS
2017,2017-12-31,164.91321885409,World Bank CM.MKT.LCAP.GD.ZS
2018,2018-12-31,148.23078992826,World Bank CM.MKT.LCAP.GD.ZS
2019,2019-12-31,159.420819612207,World Bank CM.MKT.LCAP.GD.ZS
2020,2020-12-31,197.3833187889,World Bank CM.MKT.LCAP.GD.ZS
2021,2021-12-31,208.228052204508,World Bank CM.MKT.LCAP.GD.ZS
2022,2022-12-31,157.384175416952,World Bank CM.MKT.LCAP.GD.ZS
2023,2023-12-31,179.463180379106,World Bank CM.MKT.LCAP.GD.ZS
2024,2024-12-31,216.290842771421,World Bank CM.MKT.LCAP.GD.ZS
